UTC,PCTime,cruise_number,acoustic_observer,ac_effort,vis_effort,ot_effort
5/25/2013 19:57,5/25/2013 19:57,1303,SC,on,off,S
5/25/2013 20:06,5/25/2013 20:06,1303,JT,on,on,S
5/25/2013 21:22,5/25/2013 21:22,1303,JT,on,off,S
5/25/2013 21:31,5/25/2013 21:31,1303,YB,on,off,S
5/25/2013 21:50,5/25/2013 21:50,1303,YB,on,on,S
5/25/2013 22:01,5/25/2013 22:01,1303,JT,on,on,S
5/26/2013 0:29,5/26/2013 0:29,1303,SC,on,on,S
5/26/2013 0:42,5/26/2013 0:42,1303,SC,on,on,S
5/26/2013 2:07,5/26/2013 2:07,1303,PR,on,on,S
5/26/2013 3:03,5/26/2013 3:03,1303,YB,on,on,S
5/26/2013 4:01,5/26/2013 4:01,1303,JT,on,on,S
5/26/2013 5:51,5/26/2013 5:51,1303,JT,off,off,S
5/26/2013 16:35,5/26/2013 16:35,1303,PR,off,on,S
5/26/2013 16:44,5/26/2013 16:44,1303,PR,on,on,S
5/26/2013 17:30,5/26/2013 17:30,1303,PR,on,on,S
5/26/2013 18:02,5/26/2013 18:02,1303,SC,on,on,S
5/26/2013 18:58,5/26/2013 18:58,1303,SC,on,vch,S
5/26/2013 19:18,5/26/2013 19:18,1303,SC,on,vch,S
5/26/2013 19:25,5/26/2013 19:25,1303,SC,off,vch,S
5/26/2013 19:27,5/26/2013 19:27,1303,SC,off,off,S
5/26/2013 19:31,5/26/2013 19:31,1303,SC,on,off,S
5/26/2013 19:33,5/26/2013 19:33,1303,SC,off,off,S
5/26/2013 19:37,5/26/2013 19:37,1303,SC,off,off,S
5/26/2013 19:38,5/26/2013 19:38,1303,SC,on,on,S
5/26/2013 20:00,5/26/2013 20:00,1303,PR,on,on,S
5/26/2013 20:59,5/26/2013 20:59,1303,JT,on,on,S
5/26/2013 21:57,5/26/2013 21:57,1303,JT,on,vch,S
5/26/2013 22:01,5/26/2013 22:01,1303,JT,on,ach,S
5/26/2013 22:50,5/26/2013 22:50,1303,JT,off,vch,S
5/26/2013 22:55,5/26/2013 22:55,1303,JT,on,on,S
5/26/2013 23:21,5/26/2013 23:21,1303,JT,on,vch,S
5/26/2013 23:21,5/26/2013 23:21,1303,JT,off,off,S
5/27/2013 1:31,5/27/2013 1:31,1303,SC,on,off,S
5/27/2013 1:32,5/27/2013 1:32,1303,SC,on,vch,S
5/27/2013 1:59,5/27/2013 1:59,1303,SC,on,on,S
